algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
DIJKSTRA,SLC,LAS,short,591.9385974194728,200,0.04044100999976763,0.036901999976635125,0.03637399998979163,0.0069848887819926415,1636.9567056,2,6,71,21,OK
ASTAR,SLC,LAS,short,591.9385974194728,200,0.3859039549990939,0.05681900003651208,0.05517800002508011,4.5362998949868345,1636.9567056,2,4,37,23,OK
DIJKSTRA,LAX,PHX,short,594.360881267904,200,0.03623450000077355,0.02912000002197601,0.027769000041644176,0.009474620005697699,594.3617022,1,3,29,19,OK
ASTAR,LAX,PHX,short,594.360881267904,200,0.05292099000257622,0.045516999989558826,0.044162999984109774,0.011891455899322405,594.3617022,1,2,17,18,OK
DIJKSTRA,PHX,LAX,short,594.360881267904,200,0.025062285000387874,0.02189450000855686,0.021470000035606063,0.005709514921588654,594.3617022,1,2,9,10,OK
ASTAR,PHX,LAX,short,594.360881267904,200,0.3590245550012128,0.03306499999666812,0.0321429999985412,4.541007378963885,594.3617022,1,2,9,10,OK
DIJKSTRA,SLC,DEN,short,627.5898237043757,200,0.026955369997949674,0.022357999995392674,0.021720000006553164,0.007480104971354229,627.5906906,1,2,10,11,OK
ASTAR,SLC,DEN,short,627.5898237043757,200,0.038616525000350066,0.034346500029869276,0.03340700004628161,0.007616599902058115,627.5906906,1,2,10,11,OK
DIJKSTRA,ATL,MCO,short,650.7363445761619,200,0.04276433999962137,0.0395950000324774,0.02849499998092142,0.01390803963857998,650.7372434,1,3,37,20,OK
ASTAR,ATL,MCO,short,650.7363445761619,200,0.05090373999877329,0.047648499986507886,0.04668799999762996,0.008366445279651198,650.7372434,1,2,19,20,OK
DIJKSTRA,MCO,ATL,short,650.7363445761619,200,0.03755104999612513,0.03151900000375463,0.030783999989125732,0.013416156924556564,1119.7715415,2,4,41,22,OK
ASTAR,MCO,ATL,short,650.7363445761619,200,0.05798569500058193,0.050305999991451245,0.048891999995248625,0.013074976160232626,1119.7715415,2,3,29,20,OK
DIJKSTRA,CLT,PHL,short,721.4732222849099,200,0.033918860000312634,0.02915749999488071,0.02859699998225551,0.008487620052278646,721.4742188,1,3,37,20,OK
ASTAR,CLT,PHL,short,721.4732222849099,200,0.373570209999059,0.04611599996451332,0.04528499999878477,4.543358038464761,721.4742188,1,2,18,19,OK
DIJKSTRA,PHL,CLT,short,721.4732222849099,200,0.05715703500101199,0.04947549999201328,0.04837500000576256,0.012194930361713176,1436.1620166,2,9,124,30,OK
ASTAR,PHL,CLT,short,721.4732222849099,200,0.057071609999468365,0.049654500003271096,0.04866699998729018,0.012998717910518787,1436.1620166,2,3,29,20,OK
DIJKSTRA,DTW,PHL,short,728.0522348217404,200,0.03232381999936251,0.028912999994190614,0.027991999957066582,0.0063540087829663154,728.0532405,1,3,33,20,OK
ASTAR,DTW,PHL,short,728.0522348217404,200,0.37182013999881747,0.045016499996108905,0.043626000035601464,4.545818961361688,728.0532405,1,2,17,18,OK
DIJKSTRA,CLT,MCO,short,755.2029147248458,200,0.03763240000097312,0.031907999982649926,0.031080999974619772,0.008777384701613506,755.2039579,1,4,47,21,OK
ASTAR,CLT,MCO,short,755.2029147248458,200,0.0668501300015123,0.06089650003104907,0.04529499994987418,0.020969638274176233,755.2039579,1,2,18,19,OK
DIJKSTRA,MCO,CLT,short,755.2029147248458,200,0.3507803249999597,0.025765000003730165,0.025174999962018774,4.539397737517075,755.2039579,1,3,23,15,OK
ASTAR,MCO,CLT,short,755.2029147248458,200,0.03988378499997225,0.03538199999297831,0.034517000017331156,0.008493671585063504,755.2039579,1,2,11,12,OK
DIJKSTRA,DTW,EWR,short,783.474541119275,200,0.035731339996232236,0.03134700000373414,0.030586999969273165,0.007548197566247689,783.4756233,1,4,43,21,OK
ASTAR,DTW,EWR,short,783.474541119275,200,0.048700325000652356,0.04434850001189261,0.04317500003025998,0.008223190671346683,783.4756233,1,2,17,18,OK
DIJKSTRA,EWR,DTW,short,783.474541119275,200,0.3625241800025947,0.034052000017936734,0.03331400000661233,4.58738476883027,783.4756233,1,5,61,20,OK
ASTAR,EWR,DTW,short,783.474541119275,200,0.056965639998907136,0.05149699998696633,0.04215000001295266,0.015885871529320097,783.4756233,1,2,16,17,OK
DIJKSTRA,CLT,DTW,medium,805.6961398577145,200,0.04707645499991031,0.03437450001797515,0.03329100002247287,0.01570146219506024,805.6972527,1,5,58,21,OK
ASTAR,CLT,DTW,medium,805.6961398577145,200,0.3735535149996849,0.045961500006796996,0.04488499996568862,4.545366368549552,805.6972527,1,2,18,19,OK
DIJKSTRA,PHX,SLC,medium,817.7440672985483,200,0.030209955001510025,0.027486000021781365,0.026805000004515023,0.007594346989168703,817.7451968,1,3,26,19,OK
ASTAR,PHX,SLC,medium,817.7440672985483,200,0.03538584500148545,0.032490499989989985,0.03179099996941659,0.0062092374160456106,817.7451968,1,2,9,10,OK
DIJKSTRA,EWR,CLT,medium,850.2863956391844,200,0.04188083499826689,0.037563999995882114,0.03678100000570339,0.008764252162281657,850.2875701,1,6,78,21,OK
ASTAR,EWR,CLT,medium,850.2863956391844,200,0.04626327999972091,0.04254600000308528,0.04183800001555937,0.008598445878450498,850.2875701,1,2,16,17,OK
DIJKSTRA,FLL,ATL,medium,936.441360903343,200,0.3554622900009008,0.029072499984295064,0.027980999959709152,4.544712189337054,936.4426544,1,4,33,18,OK
ASTAR,FLL,ATL,medium,936.441360903343,200,0.04233834499729028,0.0343229999941741,0.03316900000527312,0.011399078555752267,936.4426544,1,2,10,11,OK
DIJKSTRA,DTW,ATL,medium,958.1975914992888,200,0.050810919999833004,0.04658200001017576,0.0458920000028229,0.009079626244487132,1170.2648363,2,9,126,23,OK
ASTAR,DTW,ATL,medium,958.1975914992888,200,0.37670794999797863,0.04994500002908353,0.04866699998729018,4.543689518383087,1170.2648363,2,3,35,19,OK
DIJKSTRA,DEN,PHX,medium,968.5377553801859,200,0.03287772499845687,0.0283795000086684,0.027547000001959532,0.007470664945004052,968.5390932,1,3,28,19,OK
ASTAR,DEN,PHX,medium,968.5377553801859,200,0.9818149449998259,0.058935499993140184,0.04542499999615757,9.210514204901726,968.5390932,1,2,18,19,OK
DIJKSTRA,DEN,LAS,medium,1009.3646205052879,200,0.47668039999990697,0.030041499996968923,0.029310999991594144,6.240312924045971,1009.366015,1,4,37,19,OK
ASTAR,DEN,LAS,medium,1009.3646205052879,200,0.5091692549990512,0.07121950002897393,0.04641599997512458,6.240467965090623,1009.366015,1,2,18,19,OK
DIJKSTRA,CLT,FLL,medium,1019.2738618657621,200,0.4976180900030158,0.05417750000447086,0.044914999989487114,6.246033550216143,1019.27527,1,9,123,21,OK
ASTAR,CLT,FLL,medium,1019.2738618657621,200,0.05392977500065399,0.046191499990300144,0.04505499998685991,0.01232553436063811,1019.27527,1,2,18,19,OK
DIJKSTRA,MIA,CLT,medium,1049.4002848138857,200,0.037818190001814855,0.03121999998256797,0.03030699997452757,0.009876835383436592,1065.1775155999999,2,4,42,20,OK
ASTAR,MIA,CLT,medium,1049.4002848138857,200,0.048211070001684675,0.04252400000837042,0.04131599996526347,0.008940372447027573,1065.1775155999999,2,3,23,15,OK
DIJKSTRA,PHL,ORD,medium,1088.3236696135468,200,0.048076270000194654,0.043684000019084124,0.04276900000377282,0.00890409889845367,1104.4423931000001,2,7,97,29,OK
ASTAR,PHL,ORD,medium,1088.3236696135468,200,0.3762579949989231,0.04982000001518827,0.04862499997670966,4.545289290711857,1104.4423931000001,2,3,27,20,OK
DIJKSTRA,SLC,SEA,medium,1106.7145030449092,200,0.05553978499818868,0.048745499981350804,0.0476889999845298,0.011207388869955783,2272.6587956000003,2,10,129,23,OK
ASTAR,SLC,SEA,medium,1106.7145030449092,200,0.052930980000667205,0.04852300000379728,0.047354000002997054,0.008222579023661216,2272.6587956000003,2,3,28,19,OK
DIJKSTRA,BOS,CLT,medium,1170.6751261733011,200,0.382221114998913,0.0371355000083895,0.03620899997258675,4.814988862105728,1170.676743,1,6,78,20,OK
ASTAR,BOS,CLT,medium,1170.6751261733011,200,0.054324680001514025,0.04747100001623039,0.04642599998305741,0.011674853807822192,1170.676743,1,2,19,20,OK
DIJKSTRA,JFK,ORD,medium,1187.8355870120465,200,0.03457193499912137,0.031659499995839724,0.03102799996668182,0.0066601734999814565,1187.837228,1,4,51,19,OK
ASTAR,JFK,ORD,medium,1187.8355870120465,200,0.04675860500242379,0.04257150001762966,0.041652999982488836,0.00869614097104519,1187.837228,1,2,16,17,OK
DIJKSTRA,ATL,JFK,medium,1222.0934389187266,200,0.3823337750009159,0.05837850002876621,0.05123300002196629,4.536674692547648,1222.095127,1,12,162,20,OK
ASTAR,ATL,JFK,medium,1222.0934389187266,200,0.05233780999986948,0.04734700002018144,0.046395000026677735,0.0101918721624361,1222.095127,1,2,19,20,OK
DIJKSTRA,MCO,IAH,medium,1372.000405800551,200,0.04037911500262226,0.03526349999560807,0.03452600003583939,0.009399691485399264,1372.002301,1,5,60,22,OK
ASTAR,MCO,IAH,medium,1372.000405800551,200,0.3623902499961673,0.036287499995069084,0.03481900000679161,4.543881748112959,1372.002301,1,2,11,12,OK
DIJKSTRA,LAX,DEN,medium,1385.139205415772,200,0.037246009996465546,0.03268100002173924,0.03176699999585253,0.007209256235683192,1385.141119,1,5,48,19,OK
ASTAR,LAX,DEN,medium,1385.139205415772,200,0.4550863099998992,0.04520699999943645,0.043865999998615735,5.709377484277175,1385.141119,1,2,17,18,OK
DIJKSTRA,PHL,MCO,medium,1388.5554902269253,200,0.06222640000117963,0.047878499970011035,0.045630999977674946,0.01875285130134628,1388.557408,1,8,113,29,OK
ASTAR,PHL,MCO,medium,1388.5554902269253,200,0.036091310002461796,0.03398849997893194,0.0331240000264188,0.005502241665329839,1388.557408,1,2,10,11,OK
DIJKSTRA,LAS,SEA,medium,1395.1092057509343,200,0.4378037650022293,0.03758700000844328,0.036844000021574175,5.585744502650829,1395.111133,1,6,66,26,OK
